               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089139,            0.053967,              0.0366,             0.22097,             0.38667,             0.24008,             0.12137,            0.074767,            0.035072,            0.031827,           0.0033254,           0.0033254,            0.070072
                   1,             0.07411,            0.039136,            0.027009,             0.32971,                0.44,             0.40768,             0.17948,            0.079329,            0.021169,            0.022932,           0.0066258,           0.0066258,            0.040039
                   2,            0.083066,            0.030025,            0.018562,             0.59145,               0.515,             0.54164,             0.19613,            0.094405,            0.018112,            0.019064,           0.0098931,           0.0098931,           0.0099727
                   3,            0.080118,            0.027154,            0.013163,             0.34741,             0.60333,             0.53801,             0.25508,            0.074177,            0.019867,            0.020471,           0.0098515,           0.0098515,           0.0098515
                   4,            0.066804,            0.026895,            0.010962,             0.72674,             0.48332,             0.59591,             0.29112,            0.061267,            0.019765,            0.017112,           0.0098515,           0.0098515,           0.0098515
                   5,            0.059599,            0.025166,           0.0094537,             0.52272,                0.61,             0.56881,             0.29837,            0.061444,            0.020987,            0.016365,            0.009802,            0.009802,            0.009802
                   6,            0.057988,            0.024401,           0.0083862,             0.54414,             0.71318,             0.68565,             0.37409,             0.05926,            0.019553,            0.016387,           0.0097525,           0.0097525,           0.0097525
                   7,            0.050387,            0.024669,           0.0078556,             0.61787,             0.74333,             0.70327,             0.33974,            0.055248,            0.019475,            0.016052,            0.009703,            0.009703,            0.009703
                   8,            0.048032,            0.024971,           0.0075299,             0.71599,               0.665,             0.73597,             0.46318,            0.047133,             0.02038,            0.016647,           0.0096535,           0.0096535,           0.0096535
                   9,             0.04131,               0.023,            0.006688,             0.52107,                0.74,             0.70569,              0.4247,            0.049137,              0.0188,            0.016281,            0.009604,            0.009604,            0.009604
                  10,            0.041702,            0.022315,           0.0063864,             0.81136,               0.735,             0.81419,              0.4855,            0.047276,            0.018346,            0.015404,           0.0095545,           0.0095545,           0.0095545
                  11,            0.037457,            0.020958,           0.0063377,             0.85045,             0.72808,             0.79671,             0.52085,            0.043313,            0.017975,            0.015036,            0.009505,            0.009505,            0.009505
                  12,            0.036504,            0.022073,            0.006091,             0.52371,               0.715,             0.68202,             0.45028,            0.048278,            0.018795,            0.014977,           0.0094555,           0.0094555,           0.0094555
                  13,            0.036487,            0.020455,           0.0059776,             0.83946,             0.78004,             0.84554,             0.48906,            0.041427,            0.018036,            0.014389,            0.009406,            0.009406,            0.009406
                  14,            0.037977,            0.021231,           0.0058991,             0.78435,             0.76333,             0.83007,             0.50939,            0.041549,            0.018394,            0.013404,           0.0093565,           0.0093565,           0.0093565
                  15,             0.03538,            0.020069,           0.0053945,             0.86236,             0.84588,             0.90234,             0.47392,            0.042456,            0.018197,            0.012547,            0.009307,            0.009307,            0.009307
                  16,            0.031784,            0.019608,           0.0056167,             0.82425,             0.81333,             0.85655,             0.45532,            0.044434,             0.01858,            0.012038,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032776,            0.019995,            0.005724,             0.85781,             0.81095,             0.85897,              0.5084,            0.042359,             0.02007,            0.012808,            0.009208,            0.009208,            0.009208
